tool,execs_per_sec_mean,execs_done_mean,corpus_count_mean,coverage_metric_mean
AFL++,3458.133333333333,207530.66666666666,342.3333333333333,415.6666666666667
LibFuzzer,25587.666666666668,1509716.6666666667,820.6666666666666,2334.6666666666665
