tool,execs_per_sec_mean,execs_done_mean,corpus_count_mean,coverage_metric_mean
AFL++,2367.0099999999998,142041.66666666666,40.0,420.0
LibFuzzer,18062.0,1101808.0,193.33333333333334,1744.0
