target,tool,execs_per_sec_mean,execs_done_mean,corpus_count_mean,coverage_metric_mean,crashes_sum,hangs_sum
json-c,AFL++,3458.133333333333,207530.66666666666,342.3333333333333,415.6666666666667,0,0
json-c,LibFuzzer,25587.666666666668,1509716.6666666667,820.6666666666666,2334.6666666666665,0,0
libpng,AFL++,2367.0099999999998,142041.66666666666,40.0,420.0,0,0
libpng,LibFuzzer,18062.0,1101808.0,193.33333333333334,1744.0,0,0
